,date,username,tweet,replies_count,retweets_count,likes_count,link,popularity
377293,2020-10-02,petrodivisa,¡Mil Gracias Rusia! Llegó a nuestro país el primer cargamento con la vacuna rusa Sputnik V. Es el primer país de América Latina en recibirla y comenzarán las pruebas de fase tres en dos mil personas. Me gustaria ser uno de eso miles que la recibiran 🙋‍♂️ ¿Ustedes se animarian?.,179,652,1022,https://twitter.com/PetroDivisa/status/1312117693848285184,617.6666666666666
188416,2021-02-02,luisantespino,"The Lancet dice que la estrategia es pésima = ""esa publicación incurre en francas mentiras"".  The Lancet dice que la vacuna rusa está OK = ""ven, una prestigiada publicación científica nos avala"".  Adaptan los hechos a su narrativa.   Posverdad pura.",27,412,1413,https://twitter.com/luisantespino/status/1356604698325827587,617.3333333333334
186652,2021-02-02,glodejo07,"Y bueno, ahora me encantaría ver a Gatell criticar el artículo de @TheLancet sobre la efectividad de la vacuna rusa, ya que el señor aseguró que The Lancet dice “francas mentiras” cuando criticaron la pésima respuesta del gobierno de Mex ante la pandemia.  https://t.co/RRNONdtPjG",70,396,1383,https://twitter.com/GlodeJo07/status/1356628638750359553,616.3333333333334
236635,2021-01-11,exagerardez,"El virus no existe, la vacuna rusa es mala porque no cura el virus que no existe y además esta muy mal que den solo una dosis de la vacuna rusa que no cura el virus que no existe",15,266,1562,https://twitter.com/Exagerardez/status/1348664064109654025,614.3333333333334
211033,2021-01-26,aitorvalls20,"Si la vacuna Rusa la hubiesen comprado los goberladrones y empresarios amos de @LillyTellez dirían que es la mejor opción del mundo mundial. Ah pero como @lopezobrador_ les ganó la partida y los dejó en ridículo, la farandulera y otros salen a ladrar. Así las cosas 🤷‍♂️",43,551,1249,https://twitter.com/AitorValls20/status/1354108104493965313,614.3333333333334
176636,2021-02-03,elespectador,"La vacuna rusa tiene un nuevo papel en el arsenal mundial contra el coronavirus. Los resultados reconocidos sobre la eficacia de Sputnik V, convierten a este producto en un éxito científico y político para el gobierno de Rusia.  https://t.co/lq7V347nAv",61,449,1330,https://twitter.com/elespectador/status/1356966942251376642,613.3333333333334
138631,2021-03-06,tongorocho,"Enero: ""Que se ponga esa vacuna rusa él, a ver si se atreve. Nosotros no somos ratones de laboratorio de Putin. ¡Que se la ponga a Nicolasito, pues! ¿Ah, ah? ¡A mi no!  Hoy: ¡Qué barbaridaC! ¡¡¡Se puso la vacuna antes que el cuidadano de a pie!!! ¡Exijo que me puyen ya!",77,787,974,https://twitter.com/tongorocho/status/1368266753055285253,612.6666666666666
184478,2021-02-02,babyetchecoparg,Los Kirchneristas están festejando que recién después de 2 meses vacunando sale documentación sobre la Vacuna Rusa. Celebran que vacunaron 2 meses sin saber si servía y si podía tener graves efectos secundarios. Y si era al revés? Celebran tener un gobierno de incompetentes.,59,480,1299,https://twitter.com/BabyEtchecoparg/status/1356665988377419777,612.6666666666666
122047,2021-04-02,rtultimahora,Putin afirma que la vacuna rusa Sputnik V es eficaz contra todas las variantes del coronavirus conocidas hasta ahora  https://t.co/z9ofRvkf2b,24,753,1055,https://twitter.com/RTultimahora/status/1377940795794292737,610.6666666666666
450294,2020-08-11,norabar,"Antes de empezar a hablar,  no se sabe mucho, pero parece que la vacuna rusa se probó en menos de 100 personas...",209,201,1419,https://twitter.com/norabar/status/1293198341506039815,609.6666666666666
259467,2020-12-28,lanacion,"Vacuna rusa: para Sandra Pitta, ""el Presidente no tiene noción de lo que hace ""  https://t.co/seYZ2EKs4d  https://t.co/ljgqHZTwsF",221,352,1255,https://twitter.com/LANACION/status/1343608955826794502,609.3333333333334
233316,2021-01-12,andahazi,La vacuna rusa sólo se aplica en Guinea (Africa) y la Argentina (en vías de serlo).,46,417,1364,https://twitter.com/andahazi/status/1349130893231796224,609.0
432853,2020-08-12,elmediokiwi,No creen en la vacuna rusa pero si creen en Herbalife... ay machi,9,229,1588,https://twitter.com/ElMedioKiwi/status/1293587749459701762,608.6666666666666
425905,2020-08-12,torocabron_,"Que prueben la vacuna Rusa en Brancatelli, total más pelotudo imposible que quede.",59,279,1484,https://twitter.com/ToroCabron_/status/1293732280905666567,607.3333333333334
175110,2021-02-03,revisbarcelona,"Mea culpa de Carrió por cuestionar la vacuna rusa | ""Sólo estaba operando""",20,263,1539,https://twitter.com/revisbarcelona/status/1357023572435296257,607.3333333333334
204143,2021-01-27,pattygmiranda,"La vacuna rusa Sputnik V ha sido solicitada por más de 50 países del mundo, más de 1.2 millones de dosis han sido requeridas y su efectividad es muy alta. Lo único que quiere hacer @LillyTellez es un show mediático porque la vacuna funciona bastante bien.",40,520,1261,https://twitter.com/pattygmiranda/status/1354461926366048258,607.0
243882,2021-01-04,fernandomartnpe,El material fílmico fabricado por Eastman Kodak entre los 60s y 70s pierde el color. El material fílmico fabricado por la empresa soviética Orwo en esas mismas fechas conserva el color.  ¿Cómo no me voy a anotar para darme la vacuna rusa?,18,204,1596,https://twitter.com/FernandoMartnPe/status/1346139329689751552,606.0
