,date,username,tweet,replies_count,retweets_count,likes_count,link
139619,2021-03-06,juanfaerman,"Muchos desconfiaban de la vacuna rusa, pero no vi a nadie exigiendo saber qué tiene Sancor Bebé 3.",128,1869,23283,https://twitter.com/JuanFaerman/status/1368066411466264580
139695,2021-03-06,jgodoym,"Todo esto huele a un proveedor desesperado por colocar la vacuna rusa, políticos desesperados para que no vaya bien el plan de vacunación y periodistas buscando respaldar una candidatura.  Dicho esto, la reacción debe ser rápida y con cifras.",187,1198,4086,https://twitter.com/jgodoym/status/1368046229423263753
35480,2021-03-02,nicolasmaduro,"En nombre del Pueblo de Venezuela, agradezco a nuestro hermano Presidente Xi Jinping y al noble pueblo chino, por su inquebrantable espíritu de cooperación y solidaridad hacia nuestra amada Patria. La Vacuna China reforzará el proceso de inmunización que iniciamos en el país.  https://t.co/jvV3514BRc",148,4033,3469,https://twitter.com/NicolasMaduro/status/1366585964395712512
31141,2021-03-06,juanalvarezm,"Sobre #Sinopharm, yo esperaré a lo que diga Keiko: Según Ernesto Bustamante, su candidato y asesor en Salud, la vacuna china no sirve, es estafa. Pero según Alejandro Aguinaga, su otro candidato y médico de cabecera de su papi, la vacuna es tan buena que se la puso él y su esposa",84,856,3263,https://twitter.com/juanalvarezm/status/1368066994675847168
139775,2021-03-05,contracultural,"-¿Has visto la denuncia de que la vacuna Sinopharm no sirve? -No, ¿dónde? -En un programa que 5 minutos después dijo que la vacuna rusa la pueden comprar los privados :v",176,613,3200,https://twitter.com/contracultural/status/1368032180245573634
139806,2021-03-05,mauriciomulder,Increíble la denuncia en @BetoASaber: Sagasti rechazando la vacuna rusa y con su chochera Vizcarra compraron a 70 dolares c/u vacunas con 11% de eficacia! ...Además de genocidas RATEROS.,457,1142,3173,https://twitter.com/Mauriciomulder/status/1368028450372677633
139458,2021-03-06,suselparedes,La eficacia de la vacuna es 88.5% con la cepa de Beijing lo que quieren es bajarse al @FSagasti  @presidenciaperu y hacer lobby para la vacuna rusa,353,520,2808,https://twitter.com/suselparedes/status/1368176708050894862
26419,2021-03-07,ernestolarosah,Mónica Delta: ¿A usted no le gusta la vacuna China por ideología o por otra cosa?.  Rafael Lopez Aliaga: No es por eso. Yo tengo amigos chinos. A mi ne gusta el Chifa.  - ptm. no puedo creer que este hombre tan ignorante postule este  postulado a la presidencia.,149,537,2785,https://twitter.com/ErnestoLaRosah/status/1368746704065990657
142878,2021-03-02,diasasaigonados,Nos enteramos de que las Infantas se vacunaron en los Emiratos Árabes aprovechando una visita al emérito. Sólo recordar que en ese país la vacuna rusa Sputnik V lleva aprobada desde el 21 de enero. A veces la realidad opera como un guionista de colmillo afilado.,35,1010,2609,https://twitter.com/diasasaigonados/status/1366835078857437184
31791,2021-03-05,alvarosarco,Después de este escándalo gigantesco de la ínfima eficacia de la vacuna china el Congreso debe proceder mañana mismo a expulsar de la presidencia a @FSagasti... Estamos ante un crimen de lesa humanidad #FueraSagasti #Sinopharm,300,1019,2596,https://twitter.com/alvarosarco/status/1368029834564296704
136218,2021-03-08,edufeiok,"La presidenta de la Agencia Europea del Medicamento ""desaconsejó"" a los países miembros de la Unión Europea que autoricen con urgencia la vacuna rusa contra el coronavirus , la Sputnik V,  alegando la insuficiencia de datos sobre las personas vacunadas.",204,1067,2586,https://twitter.com/edufeiok/status/1368917885465288704
33963,2021-03-03,ernestoam21,Sputnik es hoy la mejor vacuna. Solicitó su registro en Perú pero ha sido reiteradamente negado. Alguien prefiere la vacuna china y negociar con intermediarios las más caras.,195,879,2428,https://twitter.com/ernestoam21/status/1367089194359812096
30428,2021-03-06,mesiasguevara,"Mensajes inconscientes. ""Sin vacunas no hay paraiso"" "" que las empresas importen vacunas"" ""gobierno incapaz no puede traer las vacunas"" ""yo no me vacuno"" ""la vacuna china tiene poca eficacia"". Objetivos: -Censusar la mesa directiva.-Vacar a Sagasti.- Evitar elecciones. Patéticos.",148,559,2314,https://twitter.com/MesiasGuevara/status/1368212263723753481
28324,2021-03-07,jbcperu,"La doctora Coralith García, investigadora principal de la Cayetano Heredia del estudio clínico de la vacuna china, manifestó q los resultados de la baja eficacia del suero chino difundido ayer viernes en Willaxtv son “preliminares”; es decir, reales. En 8 semana definirán datos.",232,707,2272,https://twitter.com/JBCPERU/status/1368467008157802496
136639,2021-03-07,donrepechaje,"Danubio para salvarse necesita que Defensor no sume, que alguien corte el pasto del Ubilla y que Cuevas gane el Abierto de Francia mientras Trump se da la vacuna rusa en la policlínica de Capitán Tula escuchando la Sport 890 en la que se anuncia que Tabárez cita al Diente López.",44,243,2128,https://twitter.com/DonRepechaje/status/1368697491676348418
142219,2021-03-03,nicolasmaduro,"El plan de vacunación del personal de salud sigue su marcha con las primeras dosis de la vacuna rusa Sputnik-V, y ahora se suma la vacuna china Sinophram. Pronto recibiremos importantes cantidades para la inmunización progresiva y masiva de todo el pueblo de Venezuela.  https://t.co/LVlnT8L5Ke",193,2991,1963,https://twitter.com/NicolasMaduro/status/1367120368746569732
33829,2021-03-03,nicolasmaduro,"El plan de vacunación del personal de salud sigue su marcha con las primeras dosis de la vacuna rusa Sputnik-V, y ahora se suma la vacuna china Sinophram. Pronto recibiremos importantes cantidades para la inmunización progresiva y masiva de todo el pueblo de Venezuela.  https://t.co/LVlnT8L5Ke",193,2991,1963,https://twitter.com/NicolasMaduro/status/1367120368746569732
141822,2021-03-03,romerocaroperu,OJO En programa de Beto Ortiz revelan carta de representante de vacuna rusa en la que dice que el gobierno peruano envio carta al gobierno ruso para que no negocien con empresas ni gobiernos regionales!!!!!!Que bajo.,143,828,1951,https://twitter.com/romerocaroperu/status/1367305885295476736
