,date,username,tweet,replies_count,retweets_count,likes_count,link
375249,2020-10-02,joelgarcia69,"Virus chino, vacuna rusa y gasolina iraní.",639,3771,5905,https://twitter.com/joelgarcia69/status/1312190358009253891
378648,2020-10-02,leonardo_padron,La vacuna rusa contra el COVID 19 llega a Venezuela con sorprendente rapidez. Quisiéramos ver a Maduro y a todo su gabinete poniéndose la vacuna. ¿O a quiénes van a usar como conejillos de indias?,559,2556,4790,https://twitter.com/Leonardo_Padron/status/1312090032035987457
371534,2020-10-04,luis_delia,Cómo estará de mal Venezuela que hoy empiezan a vacunar contra el Covid-19 con la vacuna rusa Sputnik,1915,1207,4582,https://twitter.com/Luis_Delia/status/1312691606785531904
371872,2020-10-03,gatosylvestre,Funcionó la vacuna rusa:  produjo respuesta de anticuerpos en todos los participantes -  https://t.co/E6OY2aDUf9,131,1438,4490,https://twitter.com/Gatosylvestre/status/1312572418381303809
378743,2020-10-02,earisteguieta,"Espero que los miembros de la cupula usurpadora den el ejemplo, y sean los primeros en recibir  la vacuna rusa.",143,1389,3349,https://twitter.com/EAristeguieta/status/1312088285632770049
374684,2020-10-02,earisteguieta,"Cada quien es libre de hacer lo que le parezca, pero sepa y entienda que la vacuna rusa está en ensayo.",140,1656,3309,https://twitter.com/EAristeguieta/status/1312218094228692992
378597,2020-10-02,marcoslimamd,"Finalmente ha llegado la vacuna rusa ""Sputnik V"" a Venezuela y usarán 2.000 venezolanos como sujetos de prueba. Es importante acotar que ésta NO es una vacuna aprobada ni cuenta con estudios fase 3 por lo que se desconoce su eficacia y efectos adversos. YO PASO GRACIAS ...",438,2433,3111,https://twitter.com/Marcoslimamd/status/1312090740349112320
379959,2020-10-02,actualidadrt,ÚLTIMA HORA Venezuela recibe un cargamento de Sputnik V y será el primer país latinoamericano en probar la vacuna rusa contra el covid-19  https://t.co/wpoUElhvFg  https://t.co/A3T5WRs7JP,128,2052,2916,https://twitter.com/ActualidadRT/status/1312070716834152448
372595,2020-10-03,victorugas_,"Nada pinta bien, virus chino, vacuna rusa, gasolina iraní y médicos cubanos.",183,1475,2867,https://twitter.com/VictorUgas_/status/1312460696362180616
379238,2020-10-02,petrogustavo,"Cualquiera que sea el resultado, positivo o negativo de la fase III de la vacuna rusa, en Venezuela debe ser observada directamente por Colombia, dada la homogeneidad de las poblaciones y los climas.",205,875,2630,https://twitter.com/petrogustavo/status/1312080654964793344
379397,2020-10-02,actualidadrt,Venezuela recibió este viernes el primer cargamento de la vacuna rusa contra el coronavirus Sputnik V  SEPA MÁS:  https://t.co/wpoUElhvFg  https://t.co/lLAdiKCKKz,112,1473,2519,https://twitter.com/ActualidadRT/status/1312078057491046403
373665,2020-10-03,caterinav,"#3Oct Medicos Unidos por Venezuela sobre vacuna rusa:""Esta vacuna rusa al igual que otras a nivel mundial están en fase de desarrollo y está apenas en fase 3 lo cual la hace no confiable y su uso en humano no cumple los estándares éticos para su aplicación"".",108,2150,2391,https://twitter.com/CATERINAV/status/1312365909718302720
372592,2020-10-03,cmonterooficial,Funcionó la vacuna rusa:  produjo respuesta de anticuerpos en todos los participantes -  https://t.co/TNbWzkW2du (vía @Forbes ),124,1888,2307,https://twitter.com/CMonteroOficial/status/1312461038567129089
379404,2020-10-02,carnetdlapatria,"#ULTIMAHORA “Es un momento histórico para nuestra Patria, Venezuela se convierte en el primer país de América en recibir la vacuna rusa contra el #COVID19   #SistemaPetroInmobiliario  https://t.co/ASwEzK5wnV",203,2311,2296,https://twitter.com/CarnetDLaPatria/status/1312077992303173633
371257,2020-10-04,cloquis,Funcionó la vacuna rusa: produjo respuesta de anticuerpos en todos los participantes • Forbes  https://t.co/4NeXxD3C2d,35,793,2227,https://twitter.com/Cloquis/status/1312772110360743939
369615,2020-10-05,eldestapeweb,Vacuna rusa generó anticuerpos sin efectos adversos en todos los participantes  https://t.co/l5vEnpYfzy,35,815,2173,https://twitter.com/eldestapeweb/status/1313150580597174283
