,date,username,tweet,replies_count,retweets_count,likes_count,link,popularity
442418,2020-08-11,jorgevillenal,"La vacuna Rusa es falsa, la verdadera vacuna la tiene Cuba, potencia mundial de la medicina.",106,48,387,https://twitter.com/jorgevillenal/status/1293308721519632385,180.33333333333334
420111,2020-08-13,minerolr,Ya se puso la vacuna rusa el Pejetruska.  https://t.co/8cOdrKkcOO,17,61,460,https://twitter.com/MineroLR/status/1294051616035942400,179.33333333333334
449517,2020-08-11,fercarrodeguas,Los yanquis demonizan la vacuna rusa porque le están cagando el negocio.... aguante Vladimir!!!!!!,16,121,399,https://twitter.com/fercarrodeguas/status/1293208173575319552,178.66666666666666
432405,2020-08-12,planetariio,Mi tío acaba de pasar un chiste al grupo de WhatsApp diciendo que ya se puso la vacuna rusa del covid y que al parecer no tiene efectoski secundarioski,9,6,520,https://twitter.com/planetariio/status/1293596146821140489,178.33333333333334
425020,2020-08-13,camilarz_,la neta q padre la vacuna rusa yo creo q esa madre hasta te protege de los pendejos,2,59,474,https://twitter.com/camilarz_/status/1293768091936141312,178.33333333333334
432268,2020-08-12,barreiroonline,"Me comí mil de estas y acá estoy. Introduzcan esa vacuna rusa en mi cuerpo ya, no pasa nada.  https://t.co/dqf2Hv5KQZ",60,41,428,https://twitter.com/barreiroonline/status/1293598353297756160,176.33333333333334
450810,2020-08-11,jackdelaconcha,"Mientras tanto, en Colombia...  * buenas, ¿tiene la vacuna rusa?  - si señor,  vale $7.456.987  * deme $2000 de eucalipto.",10,72,447,https://twitter.com/JackDeLaConcha/status/1293191106448879617,176.33333333333334
447743,2020-08-11,colbolivariana,"Propongo que el primero en ser inyectado con la vacuna Rusa, que sea el ""presidente eterno"", duelale a quien le duela.",13,86,427,https://twitter.com/ColBolivariana/status/1293230790462115844,175.33333333333334
447447,2020-08-11,chinchillamami,llegando al hospital por mi vacuna rusa contra el COVID-19  https://t.co/9UAa7CmM3Z,3,131,391,https://twitter.com/chinchillamami/status/1293234301954330625,175.0
421976,2020-08-13,kathrodrguez2,¿CÓMO QUE LA VACUNA RUSA NO SE PONE ENTRE LAS SHISHIS?,26,45,453,https://twitter.com/KathRodrguez2/status/1293954713415610369,174.66666666666666
