,date,username,tweet,replies_count,retweets_count,likes_count,link
270531,2020-12-24,nachoinventado,bardean la vacuna rusa pero comen ensalada rusa en fin la hip hip hopa,69,6776,98531,https://twitter.com/nachoinventado/status/1342215545966493696
254963,2020-12-29,motorpsico16_,Una novia enfermera que te ponga la vacuna rusa 😍  https://t.co/u1Ak2evM18,53,4239,49399,https://twitter.com/motorpsico16_/status/1343937234572103680
279954,2020-12-22,endemianado,"Un Diego Maradona todo barbudo baja del avión de Aerolíneas Argentinas con la vacuna rusa y dice 'lo logramos, era una misión secreta y tuvimos que hacerlo así, les ruego me perdonen, los amo a todos'.",386,2338,39066,https://twitter.com/endemianado/status/1341527116588920833
254933,2020-12-29,profedmusica,"-LA VACUNA RUSA ME GENERA DUDAS, QUE LOS FUNCIONARIOS SE VACUNEN PRIMERO!!  -Axel Kicillof fue el primero en vacunarse.  -¿POR QUÉ SE VACUNAN PRIMERO ELLOS? QUE ESOS CORRUPTOS DEJEN VACUNAS PARA NOSOTROS!!",59,2742,24139,https://twitter.com/profedmusica/status/1343938252403830785
272007,2020-12-24,la12tuittera,💉 La vacuna Rusa 🙌🏻💙💛💙  https://t.co/DzvKNmuLOS,37,1340,17321,https://twitter.com/La12tuittera/status/1342142821571158017
289196,2020-12-18,llamameelisa,Usar una vacuna rusa para detener una pandemia: ilógico. Cenar mayonesa con cosas junto a población de riesgo para celebrar la resurrección del protagonista de una novela anónima de hace 25 siglos en medio de una pandemia: lógico.,45,1709,16095,https://twitter.com/LlamameElisa/status/1339910339010412544
253885,2020-12-29,madorni,En La Rioja aplicamos dos dosis de la vacuna rusa por persona (una en cada brazo) para lograr mayor efectividad.  Argentina de pie.  https://t.co/tsN2MkWADB,418,2713,13142,https://twitter.com/madorni/status/1343985788950896648
285981,2020-12-19,ecarlef,"Pedro Cahn: ""A la vacuna rusa le decimos rusa, pero a la Pfizer no le decimos norteamericana, ni a la de Oxford inglesa. Las palabras tienen contenido y continente...""  https://t.co/2vNBvTebVH",216,2257,12756,https://twitter.com/EcarleF/status/1340338770156118017
254984,2020-12-29,vulgarcite,Kicillof después de la vacuna rusa.  https://t.co/n5TGGmqqY1,59,1441,11594,https://twitter.com/vulgarcite/status/1343936553790427136
278867,2020-12-23,jlespert,ANMAT todavía no autorizó la vacuna rusa que fuimos a buscar en vuelo épico con la quebrada Aerolíneas Argentinas y al mismo tiempo ANMAT ya aprobó la vacuna Pfizer que todavía no tenemos. Al Borda,1075,1570,11127,https://twitter.com/jlespert/status/1341710460689801216
270849,2020-12-24,ortegajuli,"Desconfían tanto de la vacuna rusa, que es la única que quiero darme.",355,813,10397,https://twitter.com/ortegajuli/status/1342196547421921280
266258,2020-12-26,miguel_boggiano,"Chile logró asegurar una provisión de 30 millones de dosis de la vacuna. Son 19 millones de habitantes.  Argentina trajo 300.000 dosis de la vacuna rusa. Y somos 44 millones.  Cuenten el relato heroico de Moscú como más les guste. Pero es un fracaso ""cósmico"" como aquel barrilete",312,2288,9670,https://twitter.com/Miguel_Boggiano/status/1342880353124540416
268468,2020-12-25,hanalfabeto,Kicillof será el primero en recibir la vacuna rusa.  La cagada es que si tiene algún efecto secundario capaz que no nos damos cuenta.,292,1586,9447,https://twitter.com/hanalfabeto/status/1342548255721349122
258209,2020-12-28,michifuzzy,- ¿Cuánto sale la vacuna rusa? - Fría US$12. Natural US$10.,78,1301,7680,https://twitter.com/MichiFuzzy/status/1343668561768833038
