,date,username,tweet,replies_count,retweets_count,likes_count,link
352357,2020-11-02,osvaldobazan,Me da que lo de la.vacuna rusa es otro el.agua no moja. Veremos.,121,280,2713,https://twitter.com/osvaldobazan/status/1323399550858649601
101581,2020-11-02,osvaldobazan,Me da que lo de la.vacuna rusa es otro el.agua no moja. Veremos.,121,280,2713,https://twitter.com/osvaldobazan/status/1323399550858649601
331719,2020-11-07,fisicoimpuro,Me compadezco de los uribistas: si se aplican la vacuna Rusa contra el Covid se volverán Comunistas y si se aplican la vacuna gringa que volverán Castrochavistas.  ¡QUÉ DILEMA!,34,547,2709,https://twitter.com/FisicoImpuro/status/1325161116662575105
345909,2020-11-03,mr_bugman,Pronóstico: En tres años vamos a encontrar millones de dosis de la vacuna rusa vencida escondidas en un galpón.,88,395,2657,https://twitter.com/Mr_Bugman/status/1323607058260860929
331677,2020-11-07,ferdejuana,Los chicos ya probaron la vacuna Rusa  https://t.co/0Upwv0NXYb,19,473,2628,https://twitter.com/ferdejuana/status/1325177799829712897
352002,2020-11-02,maquialifraco,Propongo que el Presidente Alberto Fernández se aplique la vacuna rusa en cadena nacional respaldando su compra de 25 MILLONES DE DOSIS no aprobadas.,75,429,2612,https://twitter.com/maquialifraco/status/1323403337522434049
355866,2020-11-02,vivaroca2015,"Quiero creer que nadie en su sano juicio se va a dar la vacuna rusa, y no lo digo por el hecho de que sea rusa, sino sencillamente porque no podemos aceptar que nos tomen como ratones de laboratorio.",214,723,2608,https://twitter.com/vivaroca2015/status/1323363474404188160
357286,2020-11-02,andahazi,"La vacuna rusa no cumple los protocolos internacionales. No completó la fase 3 de prueba en humanos y el laboratorio que la producirá en el país, HLB Pharma, fue clausurado por fallas de seguridad en 2018. En 2017 entró en concurso preventivo.   Somos cobayos del PC chino y Rusia",208,1391,2591,https://twitter.com/andahazi/status/1323262467737374720
358032,2020-11-01,matiildaxd,La vacuna rusa fue probada en 76 personas. ¿No es un poco poco? A 76 personas también le debe quedar bien el chupín.,41,291,2579,https://twitter.com/MatiildaxD/status/1322906729831669760
337189,2020-11-04,cayudem,"Amigos, me ofrecí como voluntario para la vacuna rusa COVID-19 y fui vacunado esta mañana en el hospital , fui a hacer mis cosas normal y hasta ahora no observo ninguna reaksionoski o efecto sekundarioski pueden estar trankiloski toduski иi meиш че сеитгюд ерпестe аьио овут Лопес",52,103,2569,https://twitter.com/cayuDEM/status/1324147885034950658
339817,2020-11-04,lanacion,"Carolina Losada cruzó a Alberto Fernández por la vacuna rusa: ""Somos hámsters ""  https://t.co/kuH1tlUERk  https://t.co/w4aLnglqNV",731,485,2545,https://twitter.com/LANACION/status/1323822554600099842
353705,2020-11-02,delfinadelfina_,Confío más en el peso argentino que en la vacuna rusa,36,418,2502,https://twitter.com/delfinadelfina_/status/1323384249416884236
