,date,username,tweet,replies_count,retweets_count,likes_count,link
460491,2020-07-19,actualidadrt,"Los anticuerpos contra el covid-19 desarrollados gracias a una vacuna rusa permanecerán en el cuerpo ""a largo plazo""  https://t.co/P7qekleUO9",15,458,784,https://twitter.com/ActualidadRT/status/1285034189671346176
93020,2020-07-24,rdavidgoncalves,Que será más peligroso el virus Chino o la vacuna China ?,142,210,536,https://twitter.com/rdavidgoncalves/status/1286793942428790785
460199,2020-07-21,actualidadrt,Adelantan los primeros resultados de una vacuna rusa contra el covid-19  https://t.co/0AzH5mIDcU,10,157,312,https://twitter.com/ActualidadRT/status/1285420233209991170
459812,2020-07-22,josfari51554066,#ULTIMAHORA si yo fuese escuálido ( primero muerto) x nada del mundo me pusiera la vacuna RUSA yo esperaría la gringa..,31,207,311,https://twitter.com/JosFari51554066/status/1286058558698782722
94710,2020-07-20,elcomerciocom,#ATENCIÓN | Resultados alentadores con la vacuna de Oxford y la vacuna china para el #covid19. ¿Efectos secundarios? »  https://t.co/jFrdkM3tsH  https://t.co/6qGWOxoAlI,8,121,304,https://twitter.com/elcomerciocom/status/1285256407634370561
460381,2020-07-20,lafm,Culminan con éxito ensayos clínicos de vacuna rusa contra Covid-19  https://t.co/YX716BWmpl,12,87,291,https://twitter.com/lafm/status/1285201204780335104
94058,2020-07-21,actualidadrt,Una vacuna china contra el coronavirus ensayada en humanos se revela segura y capaz de inducir una reacción inmune  https://t.co/z0TDTHVNmZ,30,161,271,https://twitter.com/ActualidadRT/status/1285668116610023430
93262,2020-07-23,entrelineasnoof,"CHINA ofrece crédito hasta por $1,000 millones a países de América Latina y el Caribe para que le compren eventual vacuna China contra el CORONAVIRUS.  Nada de regalar estos comunistas, nada solidarios. De allí salió el virus y ahora llega el momento del bisne",42,70,270,https://twitter.com/EntrelineasNoOf/status/1286457517825024000
93335,2020-07-23,rolandotelesur,"La vacuna #China contra la #COVIDー1, entre las  20 más avanzadas, de 150 en desarrollo a nivel mundial, será “un bien público de acceso universal”; asegura el Canciller chino Wang Yi.  https://t.co/eGWKPCz1gn",6,227,270,https://twitter.com/rolandoteleSUR/status/1286368328177586176
460192,2020-07-21,sputnikmundo,⚡️ Defensa de Rusia: la primera vacuna rusa contra el #coronavirus está lista   👉  https://t.co/fec5nCyZyo  https://t.co/B2I7WyFQaX,4,199,232,https://twitter.com/SputnikMundo/status/1285429352990203906
